DATE_STRIN,ECLIPSE_TYPE,MAGNITUD,LATITUDE,LONGITUDE,DURATION,EVENT
0126/9/4,P,0.0838,61.2N,23.5E,,solar_eclipse
0126/10/4,P,0.7938,60.8S,44.8E,,solar_eclipse
0127/3/1,A,0.9361,58.1S,92.1W,05m00s,solar_eclipse
0127/8/25,T,1.0203,57.2N,95.5E,01m22s,solar_eclipse
0128/2/18,A,0.989,19.2S,144.8E,01m04s,solar_eclipse
0128/8/13,A,0.9752,20.3N,87.4W,02m35s,solar_eclipse
0129/2/6,T,1.0354,17.1N,52.8W,03m10s,solar_eclipse
0129/8/2,A,0.9398,21.2S,143.6W,07m20s,solar_eclipse
0129/12/28,P,0.2179,65.1S,35.5E,,solar_eclipse
0130/1/27,P,0.5488,62.7N,35.1E,,solar_eclipse
0130/6/23,P,0.2693,65.8N,127.1W,,solar_eclipse
0130/7/22,P,0.2808,63.3S,176.5W,,solar_eclipse
0130/12/18,A,0.98,76.2S,59.4E,01m22s,solar_eclipse
0131/6/12,T,1.0335,58.6N,74.8W,02m31s,solar_eclipse
0131/12/7,A,0.9347,29.6S,39.4W,07m59s,solar_eclipse
0132/6/1,T,1.0775,10.9N,53.3E,07m14s,solar_eclipse
0132/11/25,A,0.9144,13.6N,31.1W,12m16s,solar_eclipse
0133/5/22,T,1.0601,48.9S,163.6E,04m32s,solar_eclipse
0133/11/14,P,0.5809,69.4N,14.4W,,solar_eclipse
0134/4/12,A,0.9801,69.0N,50.7E,01m24s,solar_eclipse
0134/10/5,T,1.0226,64.5S,16.5W,01m29s,solar_eclipse
0135/4/1,A,0.946,14.3N,36.9E,06m43s,solar_eclipse
0135/9/25,T,1.0578,11.9S,144.9E,05m08s,solar_eclipse
0136/3/20,A,0.9411,32.2S,51.3E,06m38s,solar_eclipse
0136/9/13,T,1.0314,32.4N,73.4W,02m43s,solar_eclipse
0137/2/8,P,0.0546,70.1N,134.5E,,solar_eclipse
0137/3/9,P,0.5335,71.8S,89.9E,,solar_eclipse
0137/8/4,Pe,0.028,69.5S,71.2W,,solar_eclipse
0137/9/3,P,0.4962,71.4N,130.2W,,solar_eclipse
0138/1/28,T,1.0396,31.7N,35.2W,03m28s,solar_eclipse
0138/7/24,A,0.937,35.7S,67.5W,07m29s,solar_eclipse
0139/1/18,T,1.0469,15.8S,92.4E,04m27s,solar_eclipse
0139/7/13,A,0.9677,18.7N,81.3W,04m02s,solar_eclipse
0140/1/7,A,0.9989,60.9S,113.5W,00m05s,solar_eclipse
0140/7/2,T,1.0175,68.0N,159.3E,01m15s,solar_eclipse
0140/12/27,P,0.3339,66.2S,41.1W,,solar_eclipse
0141/5/23,P,0.8366,63.2S,88.5E,,solar_eclipse
0141/6/21,P,0.247,65.6N,142.2E,,solar_eclipse
0141/11/16,An,0.9089,55.9N,87.2E,08m31s,solar_eclipse
0142/5/13,T,1.0598,2.5S,159.4E,05m28s,solar_eclipse
0142/11/5,A,0.9598,1.3S,23.5E,04m31s,solar_eclipse
0143/5/2,H,1.0051,36.4N,52.7W,00m27s,solar_eclipse
0143/10/25,H2,1.0158,35.1S,139.1W,01m18s,solar_eclipse
0144/4/20,P,0.6047,61.3N,123.6E,,solar_eclipse
0144/9/15,Pe,0.0176,61.0N,108.8W,,solar_eclipse
0144/10/14,P,0.8287,61.1S,93.1W,,solar_eclipse
0145/3/11,A,0.9395,57.9S,164.2E,04m38s,solar_eclipse
0145/9/4,T,1.0128,56.1N,18.7W,00m52s,solar_eclipse
0146/2/28,A,0.9953,17.0S,27.6E,00m27s,solar_eclipse
0146/8/25,A,0.9692,19.4N,164.1E,03m11s,solar_eclipse
0147/2/18,T,1.0409,18.2N,179.0W,03m32s,solar_eclipse
0147/8/14,A,0.9372,18.8S,113.5E,07m31s,solar_eclipse
0148/1/9,P,0.2007,64.1S,106.1W,,solar_eclipse
0148/2/7,P,0.5854,62.0N,102.4W,,solar_eclipse
0148/7/3,P,0.1394,64.9N,120.8E,,solar_eclipse
0148/8/2,P,0.4058,62.5S,71.7E,,solar_eclipse
0148/12/28,A,0.978,75.1S,52.5W,01m30s,solar_eclipse
0149/6/23,T,1.0352,64.1N,175.6W,02m29s,solar_eclipse
0149/12/18,A,0.9332,30.7S,160.7W,08m07s,solar_eclipse
0150/6/12,T,1.0787,16.5N,59.3W,07m13s,solar_eclipse
0150/12/7,A,0.9147,11.6N,153.6W,12m23s,solar_eclipse
0151/6/2,T,1.0613,37.8S,45.5E,05m06s,solar_eclipse
0151/11/26,P,0.5923,68.3N,151.0W,,solar_eclipse
0152/4/22,A+,0.9832,71.0N,136.2W,-,solar_eclipse
0152/10/15,T,1.0217,69.7S,154.7W,01m20s,solar_eclipse
0153/4/11,A,0.947,22.5N,67.2W,06m24s,solar_eclipse
0153/10/5,T,1.0545,17.6S,15.9E,04m47s,solar_eclipse
